,line_ID,Title,Episode Rating,sentiment_score
139,724,"Dwight K. Schrute, (Acting) Manager",8.7,0.07851306122448974
140,725,Search Committee,8.7,0.14007582417582407
141,801,The List,8.0,0.15026457399103132
142,802,The Incentive,8.1,0.12604130434782607
143,803,Lotto,7.2,0.1374619047619047
144,804,Garden Party,8.1,0.21694723618090442
145,805,Spooked,7.5,0.0913247933884297
146,806,Doomsday,7.6,0.08931890909090903
147,807,Pam's Replacement,7.7,0.1197758620689656
148,808,Gettysburg,6.7,0.09566244343891395
149,809,Mrs. California,7.6,0.1416026548672567
150,810,Christmas Wishes,7.8,0.1886518248175182
151,811,Trivia,7.9,0.1544350785340314
152,812,Pool Party,8.0,0.08968225806451609
153,813,Jury Duty,7.4,0.11621571906354518
154,814,Special Project,7.6,0.16675521235521226
155,815,Tallahassee,7.8,0.09189238095238099
156,816,After Hours,8.1,0.11591208791208792
157,817,Test the Store,7.8,0.07919561403508771
158,818,Last Day in Florida,7.8,0.12221174089068829
159,819,Get the Girl,6.4,0.1326747863247863
160,820,Welcome Party,6.9,0.12421902834008094
161,821,Angry Andy,6.8,0.13172218309859154
162,822,Fundraiser,7.0,0.16572614678899084
163,823,Turf War,7.5,0.12219462809917356
164,824,Free Family Portrait Studio,7.7,0.1821140077821011
165,901,New Guys,7.5,0.17070545454545447
166,902,Roy's Wedding,7.1,0.14913749999999995
167,903,Andy's Ancestry,7.3,0.19374069264069246
168,904,Work Bus,7.8,0.06189256756756756
169,905,Here Comes Treble,6.9,0.1164516949152542
170,906,The Boat,7.7,0.11741490196078433
171,907,The Whale,7.5,0.16691368821292768
172,908,The Target,7.8,0.10209718309859152
173,909,Dwight Christmas,8.4,0.1300056338028168
174,910,Lice,7.6,0.08651022222222221
175,911,Suit Warehouse,7.7,0.14785973451327436
176,912,Customer Loyalty,7.8,0.16735269709543565
177,913,Junior Salesman,7.5,0.178875355450237
178,914,Vandalism,7.3,0.11714748858447493
179,915,Couples Discount,7.1,0.13559020408163264
180,916,Moving On,8.0,0.12097557077625565
181,917,The Farm,7.5,0.09453006535947711
182,918,Promos,7.9,0.1381646616541353
183,919,Stairmageddon,8.0,0.1557457983193277
184,920,Paper Airplane,8.0,0.16106010362694298
185,921,Livin' the Dream,9.1,0.1699694822888283
186,922,A.A.R.M.,9.5,0.11933302752293572
187,924,Finale,9.8,0.1689236658932713
