3/24/2005,1,1,1,101,Pilot,Ken Kwapis,Ricky Gervais, Stephen Merchant and Greg Daniels
3/29/2005,2,1,2,102,Diversity Day,Ken Kwapis,B. J. Novak
4/5/2005,3,1,3,103,Health Care,Ken Whittingham,Paul Lieberstein
4/12/2005,4,1,4,104,The Alliance,Bryan Gordon,Michael Schur
4/19/2005,5,1,5,105,Basketball,Greg Daniels,Greg Daniels
4/26/2005,6,1,6,106,Hot Girl,Amy Heckerling,Mindy Kaling
9/20/2005,7,2,1,201,The Dundies,Greg Daniels,Mindy Kaling
9/27/2005,8,2,2,202,Sexual Harassment,Ken Kwapis,B. J. Novak
10/4/2005,9,2,3,203,Office Olympics,Paul Feig,Michael Schur
10/11/2005,10,2,4,204,The Fire,Ken Kwapis,B. J. Novak
10/18/2005,11,2,5,205,Halloween,Paul Feig,Greg Daniels
11/1/2005,12,2,6,206,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg
11/8/2005,13,2,7,207,The Client,Greg Daniels,Paul Lieberstein
11/15/2005,14,2,8,208,Performance Review,Paul Feig,Larry Wilmore
11/22/2005,15,2,9,209,Email Surveillance,Paul Feig,Jennifer Celotta
12/6/2005,16,2,10,210,Christmas Party,Charles McDougall,Michael Schur
1/5/2006,17,2,11,211,Booze Cruise,Ken Kwapis,Greg Daniels
1/12/2006,18,2,12,212,The Injury,Bryan Gordon,Mindy Kaling
1/19/2006,19,2,13,213,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky
1/26/2006,20,2,14,214,The Carpet,Victor Nelli, Jr.,Paul Lieberstein
2/2/2006,21,2,15,215,Boys and Girls,Dennie Gordon,B. J. Novak
2/9/2006,22,2,16,216,Valentine's Day,Greg Daniels,Michael Schur
3/2/2006,23,2,17,217,Dwight's Speech,Charles McDougall,Paul Lieberstein
3/16/2006,24,2,18,218,Take Your Daughter to Work Day,Victor Nelli, Jr.,Mindy Kaling
3/30/2006,25,2,19,219,Michael's Birthday,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg
4/27/2006,26,2,20,220,Drug Testing,Greg Daniels,Jennifer Celotta
5/4/2006,27,2,21,221,Conflict Resolution,Charles McDougall,Greg Daniels
5/11/2006,28,2,22,222,Casino Night,Ken Kwapis,Steve Carell
9/21/2006,29,3,1,301,Gay Witch Hunt,Ken Kwapis,Greg Daniels
9/28/2006,30,3,2,302,The Convention,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg
10/5/2006,31,3,3,303,The Coup,Greg Daniels,Paul Lieberstein
10/12/2006,32,3,4,304,Grief Counseling,Roger Nygard,Jennifer Celotta
10/19/2006,33,3,5,305,Initiation,Randall Einhorn,B. J. Novak
11/2/2006,34,3,6,306,Diwali,Miguel Arteta,Mindy Kaling
11/9/2006,35,3,7,307,Branch Closing,Tucker Gates,Michael Schur
11/16/2006,36,3,8,308,The Merger,Ken Whittingham,Brent Forrester
11/30/2006,37,3,9,309,The Convict,Jeffrey Blitz,Ricky Gervais & Stephen Merchant
